CONFIG
└── classification report
    └──                     precision    recall  f1-score   support                                                  
                                                                                                                     
                    Beagle     0.3182    0.4375    0.3684        16                                                  
                   Bulldog     0.2222    0.2667    0.2424        15                                                  
           German_Shepherd     0.5000    0.0417    0.0769        24                                                  
        Labrador_Retriever     0.0000    0.0000    0.0000        15                                                  
                Rottweiler     0.1500    0.7895    0.2521        19                                                  
                     Boxer     0.0000    0.0000    0.0000        19                                                  
                 Dachshund     0.1500    0.1875    0.1667        16                                                  
          Golden_Retriever     0.0000    0.0000    0.0000        23                                                  
                    Poodle     0.0476    0.0417    0.0444        24                                                  
         Yorkshire_Terrier     0.5000    0.0435    0.0800        23                                                  
                                                                                                                     
                  accuracy                         0.1649       194                                                  
                 macro avg     0.1888    0.1808    0.1231       194                                                  
              weighted avg     0.1975    0.1649    0.1121       194                                                  
                                                                                                                     
